アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,移動時間,経過時間,最低高度,最高高度
ラン,2025-12-15 07:06:29,false,"渋谷区 ラン","6.40","374","00:31:15","130","149","2.5","158","171","4:53","3:02","31","46","1.29","8.4","10.7","266","4:53","315","0.0","310","626","5,014","-6","22.0","いいえ","00:31:15","1","29.0","00:30:56","00:36:22","10","35"
ラン,2025-12-14 13:48:49,false,"ラン","0.76","42","00:04:14.4","119","131","0.5","156","161","5:33","4:29","5","--","1.15","9.2","10.5","288","--","272","0.0","269","355","656","-1","28.0","いいえ","00:04:14.4","1","31.0","00:04:14","00:04:14.4","22","28"
ラン,2025-12-13 12:03:40,false,"目黒区 ラン","0.87","58","00:05:03.0","126","148","0.7","161","210","5:48","4:50","1","--","1.08","9.2","9.8","281","5:43","280","0.0","266","341","806","-1","17.0","いいえ","00:05:03.0","1","18.0","00:05:03.0","00:05:03.0","37","39"
トラックラン,2025-12-13 11:04:44,false,"250*5*3 (r=150walk, r=7')","6,290","390","00:51:24","112","168","2.0","99","219","8:10","2:06","--","--","1.65","5.3","6.3","202","--","314","0.0","148","643","5,246","-6","19.0","いいえ","00:00:36.2","29","23.0","00:42:41","00:51:24","42","44"
ラン,2025-12-13 10:27:38,false,"目黒区 ラン","1.87","106","00:07:48.1","137","150","2.0","167","171","4:10","3:44","2","--","1.42","7.7","10.8","248","4:15","361","0.0","357","437","1,294","-2","22.0","いいえ","00:07:48.1","1","24.0","00:07:47","00:07:48.1","37","40"
トレッドミル,2025-12-12 11:31:08,false,"トレッドミル","3.14","212","00:16:03","139","150","2.3","163","170","5:07","4:41","--","--","1.20","8.5","10.3","268","--","287","0.0","284","325","2,626","--","--","いいえ","00:05:59.8","2","--","00:16:03","00:16:03","--","--"
ラン,2025-12-10 12:54:05,false,"葛飾区 ラン","3.06","188","00:16:18","128","154","1.9","158","190","5:20","3:56","14","13","1.17","8.8","10.2","275","5:22","286","0.0","281","439","2,610","-3","20.0","いいえ","00:16:18","1","22.0","00:16:14","00:18:20","0","11"
ラン,2025-12-10 12:38:27,false,"葛飾区 - 1×10×(1′High/30″Low)[–]","3.67","222","00:15:00","151","162","2.7","167","184","4:05","2:56","10","6","1.45","7.5","10.6","241","4:05","378","0.0","367","492","2,474","-3","21.0","いいえ","00:00:00.0","21","25.0","00:14:58","00:15:00","4","10"
ラン,2025-12-10 12:20:45,false,"葛飾区 ラン","3.59","210","00:15:17","140","150","2.4","164","174","4:16","3:27","14","10","1.44","7.7","11.1","250","4:13","357","0.0","359","453","2,504","-4","24.0","いいえ","00:15:17","1","27.0","00:15:15","00:16:19","4","18"
トレッドミル,2025-12-10 12:04:57,false,"トレッドミル","1.84","109","00:10:00","125","139","1.3","157","165","5:26","4:50","--","--","1.18","8.9","10.5","281","--","277","0.0","272","308","1,584","-2","--","いいえ","00:10:00","1","--","00:09:52","00:10:00","--","--"
トレッドミル,2025-12-09 12:15:21,false,"トレッドミル","2.38","153","00:12:53","131","139","1.9","159","165","5:25","4:57","--","--","1.18","8.9","10.5","281","--","276","0.0","273","306","2,046","-2","--","いいえ","00:12:53","1","--","00:12:53","00:12:53","--","--"
ラン,2025-12-07 12:35:44,false,"青梅市 ラン","6.98","434","00:32:22","148","166","3.0","166","217","4:38","3:58","22","55","1.29","8.1","10.4","256","4:42","322","0.0","318","448","5,386","-6","20.0","いいえ","00:32:22","1","24.0","00:32:22","00:33:45","201","241"
