アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均バイクケイデンス,最高ケイデンス,平均速度,最高速度,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,合計レップ数,合計セット数,Body Battery消費量,減圧,ベストラップタイム,ラップ数,平均呼吸数,最小呼吸数,最大呼吸数,移動時間,経過時間
筋力トレーニング,2025-12-09 12:32:05,false,"筋トレ","0.00","172","00:30:06","97","135","0.4","--","--","--","--","--","--","--","--","--","--","0.0","--","--","250","125","11","-3","いいえ","00:30:06","1","--","--","--","00:12:43","00:30:12"
筋力トレーニング,2025-12-02 13:46:27,false,"筋トレ","0.00","177","00:33:54","94","135","0.5","--","--","--","--","--","--","--","--","--","--","0.0","--","--","342","171","18","-2","いいえ","00:33:54","1","--","--","--","00:15:35","00:33:54"
筋力トレーニング,2025-11-28 19:37:43,false,"筋トレ","0.00","137","00:38:01","82","146","0.3","--","--","--","--","--","--","--","--","--","--","0.0","--","--","318","159","18","-1","いいえ","00:38:01","1","--","--","--","00:16:17","00:38:01"
筋力トレーニング,2025-11-25 12:38:29,false,"筋トレ","0.00","179","00:33:44","96","144","0.5","--","--","--","--","--","--","--","--","--","--","0.0","--","--","304","152","18","-3","いいえ","00:33:44","1","--","--","--","00:16:04","00:33:44"
筋力トレーニング,2025-11-20 14:52:58,false,"筋トレ","0.00","200","00:36:25","97","144","0.5","--","--","--","--","--","--","--","--","--","--","0.0","--","--","302","151","20","-4","いいえ","00:36:25","1","--","--","--","00:16:52","00:36:25"
筋力トレーニング,2025-11-18 12:22:51,false,"筋トレ","0.00","149","00:35:22","88","123","0.2","--","--","--","--","--","--","--","--","--","--","0.0","--","--","232","116","17","-4","いいえ","00:35:22","1","--","--","--","00:19:59","00:35:22"
筋力トレーニング,2025-11-14 12:07:09,false,"筋トレ","0.00","162","00:22:49","109","142","0.9","--","--","--","--","--","--","--","--","--","--","0.0","--","--","158","79","14","-3","いいえ","00:22:49","1","--","--","--","00:12:45","00:22:49"
筋力トレーニング,2025-11-12 11:34:25,false,"筋トレ","0.00","211","00:41:44","94","135","0.5","--","--","--","--","--","--","--","--","--","--","0.0","--","--","304","152","19","-4","いいえ","00:41:44","1","--","--","--","00:15:30","00:41:48"
筋力トレーニング,2025-11-10 15:24:49,false,"筋トレ","0.00","125","00:30:33","86","118","0.3","--","--","--","--","--","--","--","--","--","--","0.0","--","--","232","116","15","-2","いいえ","00:30:33","1","--","--","--","00:14:37","00:30:33"
筋力トレーニング,2025-10-31 16:25:23,false,"筋トレ","0.00","76","00:14:48","92","130","0.2","--","--","--","--","--","--","--","--","--","--","0.0","--","--","124","62","9","-1","いいえ","00:14:48","1","--","--","--","00:06:32.1","00:14:48"
