アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均バイクケイデンス,最高ケイデンス,平均速度,最高速度,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,合計レップ数,合計セット数,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,平均呼吸数,最小呼吸数,最大呼吸数,ストレス変化,ストレス開始,ストレス終了,平均ストレス,最大ストレス,移動時間,経過時間,最低高度,最高高度
Track Running,2026-04-04 10:35:45,false,"1×3×2000m (6′50″) [400m Jog] ","6,810","386","00:24:27","164","174","3.6","178","185","3:35","2:51","--","--","1.61","6.1","10.1","186","左 50.7%／右 49.3%","--","400","0.0","394","545","4,296","--","--","-6","19.0","いいえ","00:00:01.0","18","22.0","36","26","44","--","--","--","--","--","00:24:22","00:24:27","18","23"
Track Running,2026-04-04 10:27:37,false,"松戸市 トラックラン","650","38","00:03:43.2","124","157","0.7","136","192","5:43","2:28","--","--","1.20","7.2","7.8","173","左 49.7%／右 50.3%","--","317","0.0","233","601","492","--","--","-1","22.0","いいえ","00:00:34.0","3","22.0","29","14","36","--","--","--","--","--","00:03:43.0","00:03:43.2","20","23"
Strength Training,2026-04-04 10:03:37,false,"青トレ","0.00","111","00:12:16","114","167","1.5","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","164","82","1","--","--","いいえ","00:12:16","1","--","19","19","19","--","--","--","--","--","00:12:16","00:12:16","--","--"
Running,2026-04-04 09:51:42,false,"松戸市 ラン","1.39","86","00:06:40.6","137","151","1.7","164","187","4:48","3:46","8","6","1.26","8.3","10.3","263","--","4:51","330","0.0","321","433","1,090","--","--","-1","24.0","いいえ","00:01:37.2","2","25.0","--","--","--","--","--","--","--","--","00:06:39.4","00:06:40.6","23","28"
Running,2026-04-04 09:24:20,false,"松戸市 ラン","1.53","94","00:07:26.4","134","145","1.6","163","173","4:51","3:39","24","10","1.29","8.1","10.3","257","--","4:54","330","0.0","326","573","1,204","--","--","-2","25.0","いいえ","00:02:34.8","2","28.0","--","--","--","--","--","--","--","--","00:07:22","00:08:12.5","7","32"
Treadmill Running,2026-04-03 16:38:21,false,"トレッドミル","3.76","255","00:20:01","137","149","2.5","163","170","5:19","4:51","--","--","1.16","8.7","10.1","272","--","--","276","0.0","274","312","3,264","--","--","-4","--","いいえ","00:20:01","1","--","--","--","--","--","--","--","--","--","00:19:55","00:20:01","--","--"
Elliptical,2026-04-03 16:03:43,false,"Xトレーナー","0.00","323","00:30:06","128","139","2.2","160","190","--","--","--","--","0.00","--","--","--","--","--","--","0.0","--","--","5,158","--","--","-7","--","いいえ","00:30:06","1","--","--","--","--","--","--","--","--","--","00:00:00","00:30:06","--","--"
Running,2026-04-03 10:10:42,false,"1×1×3.9km (5′36″/km / HR123) [–] @Road","3.90","238","00:21:50","123","143","2.0","160","172","5:36","4:02","46","42","1.12","8.9","9.9","278","--","5:28","289","0.0","281","545","3,506","--","--","-7","26.0","いいえ","00:04:45.2","4","31.0","--","--","--","--","--","--","--","--","00:21:44","00:23:23","11","35"
Meditation,2026-04-03 00:04:06,false,"瞑想","--","--","00:31:50","57","80","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","28","--","--","--","--","いいえ","00:31:50","1","--","12","6","18","-2","31","29","27","59","00:00:00","00:31:50","--","--"
Treadmill Running,2026-04-02 17:33:10,false,"トレッドミル","3.02","231","00:20:01","129","141","2.1","166","174","6:37","5:41","--","--","0.91","10.7","9.8","259","左 50.7%／右 49.3%","--","234","0.0","233","267","3,306","--","--","-4","--","いいえ","00:20:01","1","--","35","20","42","--","--","--","--","--","00:19:58","00:20:01","--","--"
Elliptical,2026-04-02 16:57:46,false,"Xトレーナー","0.00","344","00:30:00","129","138","2.3","161","190","--","--","--","--","0.00","--","--","--","--","--","--","0.0","--","--","5,128","--","--","-6","--","いいえ","00:30:00","1","--","38","15","45","--","--","--","--","--","00:00:00","00:30:00","--","--"
